code,ident,latitude_deg,longitude_deg,time_zone
XBR,CNL3,44.583332,-75.683334,UTC-4
KIF,CNM5,53.01166125,-89.85188117,UTC-5
YEB,CPF2,46.417639300000005,-84.09847132,UTC-4
YSI,CPS9,46,-80,UTC-4
KEW,CPV8,52.99062345,-92.83464187,UTC-5
YSA,CSB2,44,-60,UTC-3
YLS,CSH4,49.02990215,-77.0165279,UTC-4
YNX,CSK6,63.593511500000005,-110.9040855,UTC-6
SSQ,CSR8,48.91712455,-79.17988932,UTC-4
YKU,CSU2,53.805560400000005,-78.91756505,UTC-4
ZTB,CTB6,50.716667,-59.333332,UTC-4
ZKG,CTK6,50.19551115,-61.26721406,UTC-4
YWQ,CTM3,49.887222,-71.25389,UTC-4
YAU,CTP9,61.66341865,-73.30730481,UTC-4
ZGS,CTT5,50.333332,-60.666668,UTC-4
YFG,CTU2,54.5546983,-71.16879816,UTC-4
YGA,CTU4,51.95,-68.13333,UTC-4
ZLT,CTU5,50.83005065,-58.97623897,UTC-4
CXC,CXC,61.5833487,-144.4322008,UTC-8
YAB,CYAB,73.03333,-85.183334,UTC-4
YAC,CYAC,51.72729395,-91.82639809,UTC-5
YAR,CYAD,53.55,-76.2,UTC-4
YAG,CYAG,48.65356595,-93.44405184,UTC-5
YAH,CYAH,53.75,-73.65,UTC-4
YAL,CYAL,50.5825431,-126.9165116,UTC-7
YAM,CYAM,46.4850006,-84.5093994,UTC-4
XKS,CYAQ,53.522354,-88.64333778,UTC-5
YKG,CYAS,60.0292262,-69.99784334,UTC-4
YAT,CYAT,52.9275937,-82.4311126,UTC-4
YAY,CYAY,51.36667,-55.583332,UTC-2
YAZ,CYAZ,49.08161545,-125.7793207,UTC-7
YBA,CYBA,51.166668,-115.566666,UTC-6
YBB,CYBB,68.88333,-89.85,UTC-6
YBC,CYBC,49.2,-68.26667,UTC-4
QBC,CYBD,52.333332,-126.666664,UTC-7
YBE,CYBE,59.56092115,-108.4830324,UTC-6
YBY,CYBF,54.30508195,-110.7427536,UTC-6
YBG,CYBG,48.331432500000005,-70.99492947,UTC-4
YBK,CYBK,64.2995541,-96.07822306,UTC-5
YBL,CYBL,49.9540995,-125.2757203,UTC-7
XTL,CYBQ,58.70615715,-98.512135,UTC-5
YBR,CYBR,49.907492000000005,-99.95229733,UTC-5
YBT,CYBT,57.8904941,-101.6775756,UTC-5
YBV,CYBV,52.3599899,-97.02418005,UTC-5
YBX,CYBX,51.441967250000005,-57.18686952,UTC-4
YRF,CYCA,53.6826849,-57.04176422,UTC-3
YCB,CYCB,69.1080144,-105.1376526,UTC-6
YCC,CYCC,45.1,-74.566666,UTC-4
YCD,CYCD,49.05294715,-123.8707717,UTC-7
YCE,CYCE,43.283333,-81.48333,UTC-4
